"ENSG00000005187","ACSM3","K-562","158.9","FPKM","High"
"ENSG00000005189","AC004381.6","K-562","24.3","FPKM","Medium"
"ENSG00000005194","CIAPIN1","K-562","59.6","FPKM","High"
"ENSG00000005206","SPPL2B","K-562","10.0","FPKM","Low"
"ENSG00000005238","FAM214B","K-562","2.5","FPKM","Low"
"ENSG00000005243","COPZ2","K-562","0.0","FPKM","Not detected"
"ENSG00000005249","PRKAR2B","K-562","73.9","FPKM","High"
"ENSG00000005302","MSL3","K-562","16.3","FPKM","Low"
"ENSG00000005339","CREBBP","K-562","16.0","FPKM","Low"
"ENSG00000005379","BZRAP1","K-562","1.0","FPKM","Low"
"ENSG00000005381","MPO","K-562","0.0","FPKM","Not detected"
"ENSG00000005421","PON1","K-562","0.0","FPKM","Not detected"
"ENSG00000005436","GCFC2","K-562","9.0","FPKM","Low"
"ENSG00000005448","WDR54","K-562","4.9","FPKM","Low"
"ENSG00000005469","CROT","K-562","0.3","FPKM","Not detected"
"ENSG00000005471","ABCB4","K-562","0.0","FPKM","Not detected"
"ENSG00000005483","KMT2E","K-562","24.2","FPKM","Medium"
"ENSG00000005486","RHBDD2","K-562","13.5","FPKM","Low"
"ENSG00000005513","SOX8","K-562","0.1","FPKM","Not detected"
"ENSG00000005700","IBTK","K-562","19.8","FPKM","Low"
"ENSG00000005801","ZNF195","K-562","22.9","FPKM","Medium"
"ENSG00000005810","MYCBP2","K-562","6.8","FPKM","Low"
"ENSG00000005812","FBXL3","K-562","6.3","FPKM","Low"
"ENSG00000005844","ITGAL","K-562","0.0","FPKM","Not detected"
"ENSG00000005882","PDK2","K-562","2.7","FPKM","Low"
"ENSG00000005884","ITGA3","K-562","0.1","FPKM","Not detected"
"ENSG00000005889","ZFX","K-562","10.9","FPKM","Low"
"ENSG00000005893","LAMP2","K-562","30.9","FPKM","Medium"
"ENSG00000005961","ITGA2B","K-562","0.3","FPKM","Not detected"
"ENSG00000005981","ASB4","K-562","0.0","FPKM","Not detected"
"ENSG00000006007","GDE1","K-562","7.3","FPKM","Low"
"ENSG00000006015","C19orf60","K-562","5.7","FPKM","Low"
"ENSG00000006016","CRLF1","K-562","0.0","FPKM","Not detected"
"ENSG00000006025","OSBPL7","K-562","2.4","FPKM","Low"
"ENSG00000006042","TMEM98","K-562","37.3","FPKM","Medium"
"ENSG00000006047","YBX2","K-562","0.0","FPKM","Not detected"
"ENSG00000006059","KRT33A","K-562","0.0","FPKM","Not detected"
"ENSG00000006062","MAP3K14","K-562","1.8","FPKM","Low"
"ENSG00000006071","ABCC8","K-562","0.0","FPKM","Not detected"
"ENSG00000006116","CACNG3","K-562","0.0","FPKM","Not detected"
"ENSG00000006118","TMEM132A","K-562","1.2","FPKM","Low"
"ENSG00000006125","AP2B1","K-562","106.8","FPKM","High"
"ENSG00000006128","TAC1","K-562","0.0","FPKM","Not detected"
"ENSG00000006194","ZNF263","K-562","22.8","FPKM","Medium"
"ENSG00000006210","CX3CL1","K-562","0.0","FPKM","Not detected"
"ENSG00000006282","SPATA20","K-562","0.5","FPKM","Low"
"ENSG00000006283","CACNA1G","K-562","0.0","FPKM","Not detected"
"ENSG00000006327","TNFRSF12A","K-562","11.3","FPKM","Low"
"ENSG00000006377","DLX6","K-562","0.0","FPKM","Not detected"
"ENSG00000006432","MAP3K9","K-562","0.9","FPKM","Low"
"ENSG00000006451","RALA","K-562","36.3","FPKM","Medium"
"ENSG00000006453","BAIAP2L1","K-562","15.0","FPKM","Low"
"ENSG00000006459","KDM7A","K-562","3.8","FPKM","Low"
"ENSG00000006468","ETV1","K-562","6.4","FPKM","Low"
"ENSG00000006530","AGK","K-562","21.7","FPKM","Medium"
"ENSG00000006534","ALDH3B1","K-562","0.1","FPKM","Not detected"
"ENSG00000006555","TTC22","K-562","0.0","FPKM","Not detected"
"ENSG00000006576","PHTF2","K-562","13.7","FPKM","Low"
"ENSG00000006606","CCL26","K-562","3.5","FPKM","Low"
"ENSG00000006607","FARP2","K-562","13.8","FPKM","Low"
"ENSG00000006611","USH1C","K-562","0.0","FPKM","Not detected"
"ENSG00000006625","GGCT","K-562","71.0","FPKM","High"
"ENSG00000006634","DBF4","K-562","0.4","FPKM","Not detected"
"ENSG00000006638","TBXA2R","K-562","2.4","FPKM","Low"
"ENSG00000006652","IFRD1","K-562","53.6","FPKM","High"
"ENSG00000006659","LGALS14","K-562","0.0","FPKM","Not detected"
"ENSG00000006695","COX10","K-562","14.1","FPKM","Low"
"ENSG00000006704","GTF2IRD1","K-562","10.0","FPKM","Low"
"ENSG00000006712","PAF1","K-562","34.9","FPKM","Medium"
"ENSG00000006715","VPS41","K-562","30.3","FPKM","Medium"
"ENSG00000006740","ARHGAP44","K-562","0.1","FPKM","Not detected"
"ENSG00000006744","ELAC2","K-562","57.2","FPKM","High"
"ENSG00000006747","SCIN","K-562","0.1","FPKM","Not detected"
"ENSG00000006756","ARSD","K-562","0.0","FPKM","Not detected"
"ENSG00000006757","PNPLA4","K-562","22.5","FPKM","Medium"
"ENSG00000006788","MYH13","K-562","0.0","FPKM","Not detected"
"ENSG00000006831","ADIPOR2","K-562","38.2","FPKM","Medium"
"ENSG00000006837","CDKL3","K-562","0.4","FPKM","Not detected"
"ENSG00000007001","UPP2","K-562","0.0","FPKM","Not detected"
"ENSG00000007038","PRSS21","K-562","30.8","FPKM","Medium"
"ENSG00000007047","MARK4","K-562","12.1","FPKM","Low"
"ENSG00000007062","PROM1","K-562","0.0","FPKM","Not detected"
"ENSG00000007080","CCDC124","K-562","112.4","FPKM","High"
"ENSG00000007129","CEACAM21","K-562","0.0","FPKM","Not detected"
"ENSG00000007168","PAFAH1B1","K-562","23.8","FPKM","Medium"
"ENSG00000007171","NOS2","K-562","0.0","FPKM","Not detected"
"ENSG00000007174","DNAH9","K-562","0.0","FPKM","Not detected"
"ENSG00000007202","KIAA0100","K-562","41.6","FPKM","Medium"
"ENSG00000007216","SLC13A2","K-562","0.0","FPKM","Not detected"
"ENSG00000007237","GAS7","K-562","0.0","FPKM","Not detected"
"ENSG00000007255","TRAPPC6A","K-562","16.4","FPKM","Low"
"ENSG00000007264","MATK","K-562","22.4","FPKM","Medium"
"ENSG00000007306","CEACAM7","K-562","0.0","FPKM","Not detected"
